show_title,category,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,directors_name
Live is Life,Films (Non-English),tt7899416,tvMiniSeries,Live is Life,Live is Life,0,2018,\N,\N,"Biography,Short",,,nm8095494,Evi Koroni
Jackass 4.5,Films (English),tt18258584,video,Jackass 4.5,Jackass 4.5,0,2022,\N,90,"Action,Comedy,Documentary",6.5,13654,nm0871860,Jeff Tremaine
Cleveland Abduction,Films (English),tt4262142,tvMovie,Cleveland Abduction,Cleveland Abduction,0,2015,\N,88,"Biography,Crime,Drama",6.6,8181,nm2016145,Alex Kalymnios
Larva Pendant,Films (Non-English),tt19851736,short,Larva Pendant,Larva Pendant,0,2022,\N,33,"Adventure,Animation,Comedy",5.9,105,nm13610681,Young-cheol Joe
Without Saying Goodbye,Films (Non-English),tt11106334,tvEpisode,Without Saying Goodbye,Without Saying Goodbye,0,2019,\N,\N,"Action,Comedy,History",8.1,21,\N,
Chernobyl 1986,Films (Non-English),tt11390602,short,Chernobyl 1986,Chernobyl 1986,0,2018,\N,\N,"Drama,Short",5.5,155,nm3729958,Toni Comas
One Piece Film: Strong World,Films (Non-English),tt7947592,video,One Piece Film: Strong World,One Piece Film: Strong World,0,2010,\N,20,"Action,Adventure,Animation",7.6,700,nm2991644,Naoyuki Itô
The Privilege,Films (Non-English),tt14637290,tvMovie,The Privilege,Das Privileg,0,2022,\N,107,"Drama,Horror,Mystery",4.7,5592,"nm1385075,nm1691076","Felix Fuchssteiner, Katharina Schöde"
13 Hours: The Secret Soldiers of Benghazi,Films (English),,,,,,,,,,,,,
Death to 2021,Films (English),tt16301388,tvSpecial,Death to 2021,Death to 2021,0,2021,\N,60,Comedy,6.3,15557,"nm2442354,nm2063694","Josh Ruben, Jack Clough"
Intervenção,Films (Non-English),tt13163982,short,Intervenção,Intervenção,0,2017,\N,\N,"Drama,Short",,,nm11929106,Isaac Brum Souza
Earwig and the Witch,Films (Non-English),tt14008738,tvEpisode,Earwig and the Witch,Earwig and the Witch,0,2021,\N,6,"Comedy,Talk-Show",7.4,11,nm5741914,Chris Stuckmann
